"","For.the.Week.Starting","Intercept","s.date.","s.days.","s.U.S..No.2.Diesel.Retail.Prices..Weekly.","Autoregressive_error","Sum.of.Effects"
"1",2014-04-23,2.37245444915643,0.202886847146044,-0.0116465871124437,0.105543019397873,0.322174184418045,2.99141191300595
"2",2014-04-30,2.37245444915643,0.204346320053954,0.05025858844037,0.105543019397873,0.212378648532161,2.94498102558079
"3",2014-05-07,2.37245444915643,0.205805792961864,0.127636470371203,0.105543019397873,0.140000945245881,2.95144067713325
"4",2014-05-14,2.37245444915643,0.207265265869774,0.213069077275589,0.105543019397873,0.0922892428462368,2.9906210545459
"5",2014-05-21,2.37245444915643,0.208724738777684,0.296945165583614,0.105543019397873,0.060837477419691,3.04450485033529
"6",2014-05-28,2.37245444915643,0.210184211685594,0.369653491725367,0.105543019397873,0.0401043344234385,3.0979395063887
"7",2014-06-04,2.37245444915643,0.211643684593504,0.421582812130934,0.105543019397873,0.0264369547812057,3.13766092005994
"8",2014-06-11,2.37245444915643,0.213103157501414,0.443240023991673,0.105543019397873,0.0174273576198548,3.15176800766724
"9",2014-06-18,2.37245444915643,0.214562630409324,0.432220470175198,0.105543019397873,0.0114881912884393,3.13626876042726
"10",2014-06-25,2.37245444915643,0.216022103317234,0.397106584347317,0.105543019397873,0.00757306655194879,3.0986992227708
"11",2014-07-02,2.37245444915643,0.217481576225144,0.347425926264006,0.105543019397873,0.00499219899462842,3.04789717003808
"12",2014-07-09,2.37245444915643,0.218941049133054,0.292706055681238,0.105543019397873,0.00329087967615388,2.99293545304475
"13",2014-07-16,2.37245444915643,0.220400522040963,0.24247453235499,0.105543019397873,0.00216936245020993,2.94304188540046
"14",2014-07-23,2.37245444915643,0.221859994948873,0.205555342258945,0.105543019397873,0.00143005333026365,2.90684285909238
"15",2014-07-30,2.37245444915643,0.223319467856783,0.182593426147637,0.105543019397873,0.000942697485706119,2.88485306004443
"16",2014-08-06,2.37245444915643,0.224778940764693,0.168956921408408,0.105543019397873,0.00062143035560275,2.87235476108301
"17",2014-08-13,2.37245444915643,0.226238413672603,0.159926018705815,0.105543019397873,0.000409649641290067,2.86457155057401
"18",2014-08-20,2.37245444915643,0.227697886580513,0.150780908704413,0.105543019397873,0.000270042856928533,2.85674630669616
"19",2014-08-27,2.37245444915643,0.229157359488423,0.136801782068758,0.105543019397873,0.000178013446682084,2.84413462355816
"20",2014-09-03,2.37245444915643,0.230616832396333,0.114479502391742,0.105543019397873,0.00011734725206237,2.82321115059444
"21",2014-09-10,2.37245444915643,0.232076305304243,0.0851476249796043,0.105543019397873,7.73558280188918e-05,2.79529875466617
"22",2014-09-17,2.37245444915643,0.233535778212153,0.05135037806692,0.105543019397873,5.09933042599745e-05,2.76293461813763
"23",2014-09-24,2.37245444915643,0.234995251120063,0.0156319898882645,0.105543019397873,3.36150118994949e-05,2.72865832457453
"24",2014-10-01,2.37245444915643,0.236454724027972,-0.0194633113217869,0.105543019397873,2.21591646472323e-05,2.69501104042513
"25",2014-10-08,2.37245444915643,0.237914196935882,-0.0514049470263582,0.105543019397873,1.4607419427108e-05,2.66452132588325
"26",2014-10-15,2.37245444915643,0.239373669843792,-0.0784813205505379,0.105543019397873,9.62927554880115e-06,2.6388994471231
"27",2014-10-22,2.37245444915643,0.240833142751702,-0.10025025710546,0.105543019397873,6.34766106754401e-06,2.61858670186161
"28",2014-10-29,2.37245444915643,0.242292615659612,-0.116378779483853,0.105543019397873,4.18440627482412e-06,2.60391548913634
"29",2014-11-05,2.37245444915643,0.243752088567522,-0.126533910478445,0.105543019397873,2.75837913941458e-06,2.59521840502252
"30",2014-11-12,2.37245444915643,0.245211561475432,-0.130382672881967,0.105543019397873,1.81833573917899e-06,2.5928281754835
"31",2014-11-19,2.37245444915643,0.246671034383342,-0.127781205357566,0.105543019397873,1.19865496846721e-06,2.59688849623505
"32",2014-11-26,2.37245444915643,0.248130507291252,-0.120784118562016,0.105543019397873,7.90158661282134e-07,2.6053446474422
"33",2014-12-03,2.37245444915643,0.249589980199162,-0.112864392180237,0.105543019397873,5.20876087301059e-07,2.61472357744931
"34",2014-12-10,2.37245444915643,0.251049453107072,-0.107518645380951,0.105543019397873,3.43363822503473e-07,2.62152861964424
"35",2014-12-17,2.37245444915643,0.252508926014982,-0.108243497332881,0.105543019397873,2.26346951757938e-07,2.62226312358335
"36",2014-12-24,2.37245444915643,0.253968398922891,-0.118535567204749,0.105543019397873,1.49208912565599e-07,2.61343044948136
"37",2015-01-01,2.37245444915643,0.255636367960503,-0.118535567204749,0.105543019397873,9.835917566417e-08,2.61509836766923
"38",2015-01-08,2.37245444915643,0.257095840868413,-0.140471970706266,0.105543019397873,6.4838804002956e-08,2.59462140355525
"39",2015-01-15,2.37245444915643,0.258555313776323,-0.170451809711101,0.105543019397873,4.27420266197411e-08,2.56610101536155
"40",2015-01-22,2.37245444915643,0.260014786684233,-0.203454682633915,0.105543019397873,2.81757331532421e-08,2.53455760078035
"41",2015-01-29,2.37245444915643,0.261474259592142,-0.234460187889365,0.105543019397873,1.85735680197262e-08,2.50501155883065
"42",2015-02-05,2.37245444915643,0.262933732500052,-0.258447923892111,0.105543019397873,1.22437782579474e-08,2.48248328940602
"43",2015-02-12,2.37245444915643,0.264393205407962,-0.270447897857534,0.105543019397873,8.07115282699444e-09,2.47194278417588
"44",2015-02-19,2.37245444915643,0.265852678315872,-0.268514645044418,0.105543019397873,5.3205396720098e-09,2.47533550714629
"45",2015-02-26,2.37245444915643,0.267312151223782,-0.255390719178816,0.105543019397873,3.50732330414459e-09,2.48991890410659
"46",2015-03-05,2.37245444915643,0.268771624131692,-0.234221944392569,0.105543019397873,2.31204304790927e-09,2.51254715060547
"47",2015-03-12,2.37245444915643,0.270231097039602,-0.208154144817517,0.105543019397873,1.52410901186919e-09,2.54007442230049
"48",2015-03-19,2.37245444915643,0.271690569947512,-0.180333144585501,0.105543019397873,1.00469940737541e-09,2.56935489492101
"49",2015-03-26,2.37245444915643,0.273150042855422,-0.153574192344184,0.105543019397873,6.62302296830154e-10,2.59757331972784
"50",2015-04-02,2.37245444915643,0.274609515763332,-0.126849596737663,0.105543019397873,4.36592605874401e-10,2.62575738801656
"51",2015-04-09,2.37245444915643,0.276068988671242,-0.0966523502787033,0.105543019397873,2.87803778450556e-10,2.65741410723464
"52",2015-04-16,2.37245444915643,0.277528461579152,-0.0594341235445492,0.105543019397873,1.89721524771415e-10,2.69609180677862
